3
314.85707068004285 322.8334257688649
797.425604085323 549.4647671526658
683.96279709312 509.7797169553176
100
163 440
766 224
629 604
152 177
346 430
176 739
146 109
143 563
151 825
106 803
353 809
557 557
257 334
864 859
710 345
201 584
136 522
901 3
710 485
326 103
963 591
131 542
150 162
46 88
618 185
820 948
873 454
444 971
688 12
723 418
239 930
229 49
197 754
308 202
70 938
943 465
320 87
405 753
23 692
305 963
681 409
355 757
139 799
51 10
16 873
812 500
117 788
149 807
449 239
502 175
294 558
113 227
22 674
982 490
137 102
291 663
511 496
95 729
876 72
343 341
705 69
406 553
704 263
527 750
75 97
43 801
557 235
322 563
874 897
866 785
448 207
669 503
713 506
787 813
250 533
81 582
311 900
93 671
410 240
652 979
988 997
986 907
909 540
556 551
851 870
162 930
126 372
32 910
814 681
236 458
596 381
71 226
553 202
848 36
204 49
590 804
340 336
393 183
742 75
983 333
