3
19.448571223164198 40.987450795333764
9.704013256360144 69.1355117744677
56.78131984481471 50.032139273620515
100
29 8
54 55
82 44
11 54
25 12
79 23
63 93
50 75
67 39
77 38
2 85
13 30
83 15
40 18
47 4
81 61
53 66
89 84
7 97
68 30
42 46
71 17
48 0
35 99
63 13
43 2
10 88
35 96
5 12
71 83
69 67
33 57
15 46
31 18
61 49
60 85
23 17
75 26
54 43
48 35
71 52
18 88
67 13
34 12
67 27
44 95
62 21
19 63
74 70
39 20
38 91
20 55
39 25
64 98
88 28
43 88
37 16
94 25
23 95
86 41
35 19
8 1
46 20
19 42
69 32
68 51
52 25
9 69
97 59
22 75
6 49
6 54
10 43
37 55
96 48
70 57
48 99
83 47
75 24
62 65
51 0
11 37
61 12
39 89
16 14
0 96
48 84
89 5
13 91
32 59
54 60
66 70
66 2
51 9
80 62
75 18
20 80
68 58
51 99
73 40
